auc,model_name,isTotalTrain,isInit,PATIENCE,len_allele,len_peptide,len_acid,EPOCH,BATCH_SIZE,LR,isL1Smooth,Dropout,threshold,l1,ita,HIDDEN_SIZE,LAYER_NUM,head
0.966171008,b512_DP0.5_l10_hidden128_layer2_ita0.2_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0,0.2,128,2,6
0.971744622,b512_DP0.1_l10.001_hidden128_layer1_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.1,128,1,2
0.973881256,b512_DP0.3_l10.01_hidden128_layer1_ita0.2_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.2,128,1,4
0.972075637,b512_DP0.3_l10.01_hidden256_layer2_ita0.1_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.1,256,2,6
0.970600598,b512_DP0.1_l10.001_hidden256_layer2_ita0.3_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.3,256,2,6
0.967462562,b512_DP0.5_l10.01_hidden256_layer2_ita0.2_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0.01,0.2,256,2,2
0.963577926,b512_DP0.3_l10.001_hidden256_layer2_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.3,256,2,2
0.969713647,b512_DP0.1_l10.001_hidden256_layer1_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.3,256,1,2
0.972011273,b512_DP0.1_l10.001_hidden256_layer1_ita0.3_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.3,256,1,6
0.975652551,b512_DP0.1_l10_hidden128_layer1_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.1,128,1,2
0.951997814,b512_DP0.5_l10.01_hidden128_layer2_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0.01,0.1,128,2,2
0.974446216,b512_DP0.3_l10.01_hidden128_layer2_ita0.2_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.2,128,2,4
0.970295394,b512_DP0.5_l10.01_hidden128_layer1_ita0.3_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0.01,0.3,128,1,4
0.977792519,b512_DP0.3_l10.01_hidden128_layer1_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.1,128,1,2
0.965425222,b512_DP0.3_l10.001_hidden256_layer2_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.1,256,2,2
0.971171495,b512_DP0.1_l10_hidden256_layer1_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.1,256,1,2
0.963457331,b512_DP0.3_l10.01_hidden256_layer2_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.3,256,2,2
0.964289887,b512_DP0.1_l10.001_hidden128_layer2_ita0.1_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.1,128,2,2
